lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
119.36000 42.07000 NaN NaN NaN NaN 0 leve Leveling
119.47000 42.06000 NaN NaN NaN NaN 0 leve Leveling
119.52000 42.05000 NaN NaN NaN NaN 0 leve Leveling
119.62000 42.03000 NaN NaN NaN NaN 0 leve Leveling
119.71000 41.90000 NaN NaN NaN NaN 0 leve Leveling
119.70000 41.86000 NaN NaN NaN NaN 0 leve Leveling
119.69000 41.83000 NaN NaN NaN NaN 0 leve Leveling
119.69000 41.79000 NaN NaN NaN NaN 0 leve Leveling
119.67000 41.68000 NaN NaN NaN NaN 0 leve Leveling
119.67000 41.65000 NaN NaN NaN NaN 0 leve Leveling
119.68000 41.61000 NaN NaN NaN NaN 0 leve Leveling
119.68000 41.59000 NaN NaN NaN NaN 0 leve Leveling
119.68000 41.58000 NaN NaN NaN NaN 0 leve Leveling
119.71000 41.47000 NaN NaN NaN NaN 0 leve Leveling
119.68000 41.42000 NaN NaN NaN NaN 0 leve Leveling
119.67000 41.41000 NaN NaN NaN NaN 0 leve Leveling
119.66000 41.41000 NaN NaN NaN NaN 0 leve Leveling
119.62000 41.40000 NaN NaN NaN NaN 0 leve Leveling
119.56000 41.35000 NaN NaN NaN NaN 0 leve Leveling
119.50000 41.32000 NaN NaN NaN NaN 0 leve Leveling
119.19000 42.38000 NaN NaN NaN NaN 0 leve Leveling
119.76000 42.41000 NaN NaN NaN NaN 0 leve Leveling
119.90000 42.28000 NaN NaN NaN NaN 0 leve Leveling
119.95000 42.30000 NaN NaN NaN NaN 0 leve Leveling
119.98000 42.32000 NaN NaN NaN NaN 0 leve Leveling
111.25000 34.76000 NaN NaN NaN NaN 0 leve Leveling
111.27000 34.72000 NaN NaN NaN NaN 0 leve Leveling
111.32000 34.72000 NaN NaN NaN NaN 0 leve Leveling
111.40000 34.73000 NaN NaN NaN NaN 0 leve Leveling
111.44000 34.72000 NaN NaN NaN NaN 0 leve Leveling
111.47000 34.72000 NaN NaN NaN NaN 0 leve Leveling
111.60000 34.72000 NaN NaN NaN NaN 0 leve Leveling
111.66000 34.73000 NaN NaN NaN NaN 0 leve Leveling
111.70000 34.75000 NaN NaN NaN NaN 0 leve Leveling
111.76000 34.76000 NaN NaN NaN NaN 0 leve Leveling
111.76000 34.75000 NaN NaN NaN NaN 0 leve Leveling
111.86000 34.73000 NaN NaN NaN NaN 0 leve Leveling
111.89000 34.73000 NaN NaN NaN NaN 0 leve Leveling
111.94000 34.75000 NaN NaN NaN NaN 0 leve Leveling
112.06000 34.75000 NaN NaN NaN NaN 0 leve Leveling
