lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
29.61384 41.17770 24.24092 11.06843 -0.86375 0.34616 0.51650 0.77765 0 0 0 silc GNSS
11.57274 48.14735 20.39348 15.90980 0.49428 0.22311 0.09389 0.12574 0 0 0 0256 GNSS
12.69992 42.95515 21.16914 17.49164 0.57121 0.24097 0.49549 1.22576 0 0 0 fol1 GNSS
9.10052 40.90631 21.14094 16.23661 -0.29381 0.38979 0.16103 0.20300 0 0 0 gtem GNSS
12.58212 44.04831 22.44574 19.14345 -1.03092 0.10731 0.07523 0.34209 0 0 0 itrn GNSS
9.40700 45.85728 19.93698 16.08386 0.66485 0.10198 0.26154 0.25860 0 0 0 lec1 GNSS
12.83300 45.76700 20.96059 17.86868 -3.22179 0.03997 0.09336 0.30996 0 0 0 port GNSS
11.11749 46.09196 20.79606 16.29175 0.13595 0.17764 0.49724 0.19938 0 0 0 tntn GNSS
12.25370 45.66263 20.61702 17.29213 -0.18278 0.08988 0.06515 0.21412 0 0 0 trev GNSS
105.17842 37.58100 32.17138 -6.73754 0.92494 0.55743 0.75864 0.27431 0 0 0 g004 GNSS
80.58180 28.75420 38.11109 35.16201 -1.96137 0.22305 0.28405 0.55094 0 0 0 dngd GNSS
80.62600 29.17652 34.66726 34.37694 -0.42468 0.44093 0.44306 1.39474 0 0 0 gntw GNSS
83.60315 27.76690 36.95248 34.62316 0.70100 0.12908 0.22181 0.29782 0 0 0 kldn GNSS
86.55000 27.30510 37.43412 30.37860 1.97391 0.35515 0.40809 0.86191 0 0 0 rmjt GNSS
83.93581 28.26001 36.35173 31.00374 1.04390 0.19394 0.20386 0.64704 0 0 0 srnk GNSS
87.70982 27.35200 38.42115 30.99939 1.37419 0.38387 0.15928 0.44434 0 0 0 tplj GNSS
94.81300 40.17200 30.31715 0.29159 -0.58443 0.35682 0.14648 0.30554 0 0 0 g161 GNSS
94.55500 39.71600 30.74632 0.77165 -0.28786 0.46737 0.19716 0.34150 0 0 0 g162 GNSS
93.48900 39.64500 30.74222 1.85552 -0.42788 0.20586 0.31582 1.22085 0 0 0 g163 GNSS
94.85700 39.51400 31.79834 0.75556 0.33042 0.43532 0.69971 0.44966 0 0 0 g164 GNSS
94.35500 38.80900 34.35984 1.64953 1.43860 0.41358 0.31984 0.60540 0 0 0 g167 GNSS
79.03500 40.50300 29.73624 15.29381 -0.57806 0.24440 0.24294 0.67946 0 0 0 i073 GNSS
75.25000 39.71800 27.92009 14.32127 -0.99859 0.12276 0.30562 0.32643 0 0 0 i078 GNSS
76.17400 38.93500 28.49466 21.38190 -3.26912 0.43700 0.22911 0.21871 0 0 0 i083 GNSS
74.42700 39.02494 23.87377 20.63752 2.21594 0.38921 0.76569 0.55628 0 0 0 i399 GNSS
69.29514 41.32796 26.61960 4.31704 0.44541 0.21838 0.17046 0.55741 0 0 0 tash GNSS
104.05700 37.18100 34.58777 -5.72594 0.30835 0.16992 0.21620 0.07984 0 0 0 gsjt GNSS
102.05800 34.02000 40.85290 -4.80601 -0.23793 0.53423 0.48403 0.15315 0 0 0 gsma GNSS
100.81800 38.44100 32.87661 -3.29764 -0.00585 0.18976 0.14781 0.13661 0 0 0 gsml GNSS
103.08800 38.63200 32.61555 -5.56133 0.03975 0.40599 0.16876 0.10369 0 0 0 gsmq GNSS
101.05850 41.95950 30.88966 -5.19073 -1.48740 0.17241 0.27281 0.35040 0 0 0 nmej GNSS
105.64600 36.55400 34.58499 -6.85790 -1.46435 0.19962 0.22676 0.27244 0 0 0 nxhy GNSS
106.27400 38.49400 31.83683 -7.87404 -3.86298 0.10690 0.21206 0.37208 0 0 0 nxyc GNSS
105.24400 37.58600 33.07533 -6.01389 -0.31420 0.24748 0.18455 0.27722 0 0 0 nxzw GNSS
100.13000 37.33300 37.34176 -2.57644 -0.17545 0.23153 0.16618 0.28710 0 0 0 qhgc GNSS
103.23000 22.78300 33.66709 -9.00753 -2.02789 0.78480 0.36869 0.46498 0 0 0 ynjp GNSS
99.37183 25.88633 27.08758 -16.95927 -0.94630 0.58586 0.46618 1.40947 0 0 0 ynyl GNSS
88.86494 29.24906 41.06604 20.23362 0.12675 0.38497 0.91030 0.28879 0 0 0 xzrk GNSS
83.71583 42.82907 31.64457 7.25734 1.31997 0.21486 0.24037 0.74478 0 0 0 xjby GNSS
81.59530 28.11717 36.74374 36.08092 -1.11861 0.25385 0.34818 0.39535 0 0 0 npgj GNSS
